,crude oil,gold,aluminum,nikel,cotton,rubber,wheat,natural gas,palm oil,cooper,S&P500,portfolio
2017-01-03,0.9738355910187418,1.0098823529411765,0.9968957871396896,0.9922943077305494,1.0159943382873318,1.0392764857881136,0.9963235294117648,0.8933941997851773,1.005239360326696,0.9935868485231686,1.0,0.991672280095241
2017-01-04,0.989979588049731,1.0140740740740741,0.998078344419808,1.0154113845389012,1.0485491861288037,1.041343669250646,1.025735294117647,0.8772824919441462,1.0040098693364121,1.0196007587390479,1.0057222738442055,1.0034064660599218
2017-01-05,0.9975876786045648,1.0284270152505446,1.0048780487804878,1.0191399453144419,1.044302901627742,1.0139534883720929,1.0447303921568627,0.8788936627282494,1.0008752438725643,1.0080390208653238,1.0049471933733358,1.0040827397572873
2017-01-06,0.996288736314715,1.0218997821350764,1.0147819660014783,1.0221227939348743,1.047275300778485,0.9974160206718345,1.0373774509803921,0.8821160042964556,0.9962938049128524,1.0098455424080932,1.0084815514624392,1.0025417402434258
2017-01-09,0.9608461681202449,1.029281045751634,1.017738359201774,1.0315684812329105,1.0331210191082798,1.0470284237726095,1.0471813725490196,0.8332438238453278,1.0088739279461698,1.01002619456237,1.0049028596562084,1.0018908816090337
2017-01-10,0.9422898496938207,1.0351895424836601,1.0294161123429415,1.04772557792692,1.0359518754423207,1.078552971576227,1.0459558823529411,0.8802363050483354,1.003686032868293,1.0401951043266189,1.0049028596562084,1.0139199254062077
2017-01-11,0.9721655223603637,1.0384488017429192,1.0373983739837396,1.0039771314939097,1.0352441613588104,1.091472868217054,1.0263480392156863,0.8657357679914073,1.0168750521223338,1.0322464095384336,1.0077463712484036,1.011991212802466
2017-01-12,0.984598255706068,1.0417690631808278,1.056023651145602,1.0260999254287841,1.0239207360226463,1.0966408268733847,1.0447303921568627,0.9092373791621915,1.0215149141090176,1.055369885285882,1.0055849477437957,1.0259905029071266
2017-01-13,0.9747634069400631,1.0434335511982569,1.0712490761271245,1.035297042008451,1.0229299363057318,1.0785529715762272,1.0441176470588234,0.9180988184747585,1.0245411850758253,1.067473579622437,1.0074451196145329,1.02804572143877
2017-01-17,0.9747634069400631,1.060627450980392,1.0625277161862523,1.009445687298036,1.020665251238499,1.1307493540051679,1.0625,0.9162191192266383,1.020596083033037,1.0394724957095114,1.004455523512607,1.02975665646176
2017-01-18,0.9545370198552606,1.0494989106753811,1.0745011086474496,1.0114342530449911,1.02278839348903,1.1369509043927646,1.0563725490196079,0.8866809881847478,1.0143245035503283,1.0421822780236656,1.006227136017452,1.0249270908883228
2017-01-19,0.9550937094080535,1.0499782135076252,1.075535846267553,0.9850857568978373,1.0288747346072182,1.1204134366925063,1.0379901960784317,0.9044038668098823,1.014951135830791,1.0368530394724957,1.0025953516418697,1.0209179935572394
2017-01-23,0.9805158656522548,1.0616383442265795,1.0935698447893565,0.9731543624161072,1.0563340410474162,1.0816537467700256,1.061887254901961,0.870837808807734,1.0163849958679305,1.0468792340348658,0.9998982448093808,1.0242855498514232
2017-01-24,0.9820003711263687,1.0535424836601308,1.1036215816703616,0.9761372110365397,1.0413305024769988,1.1090439276485784,1.0459558823529413,0.8805048335123525,1.0305886515961193,1.073615752867853,1.0064621703833003,1.0296341197948244
2017-01-25,0.9823714974948972,1.0463529411764707,1.0854397634885433,0.968431518767089,1.0457183297947625,1.1416020671834621,1.0404411764705885,0.8947368421052634,1.0229569171169808,1.073435100713576,1.0145401269747032,1.0301486154311632
2017-01-26,0.9972165522360366,1.0357298474945535,1.0771618625277155,0.9301516281382051,1.050106157112526,1.1560723514211881,1.0465686274509804,0.9081632653061227,1.019161832579488,1.0580796676000361,1.013794050225868,1.0278411791866853
2017-01-31,0.9799591760994621,1.0550936819172114,1.076274944567627,0.9905543127019635,1.06072186836518,1.175710594315245,1.03125,0.8370032223415685,1.0167585825413563,1.0822870562731461,1.0128918694881544,1.0305613439122758
2017-02-02,0.9964742994989797,1.0596601307189544,1.0833702882483365,1.0283370618941088,1.0886058032554842,1.1834625322997412,1.064950980392157,0.8558002148227715,1.026847597900993,1.0633185800740674,1.01346953132217,1.0450827489105596
2017-02-03,0.9990721840786791,1.063442265795207,1.0876570583887653,1.021874223216505,1.0815286624203815,1.1493540051679583,1.0545343137254906,0.8225026852846405,1.0234008624047501,1.0427242344864962,1.020832142209267,1.0346090494968874
2017-02-06,0.9857116348116537,1.076714596949891,1.0842572062084253,1.0395227442207307,1.0704883227176214,1.1297157622739014,1.0355392156862746,0.8190118152524171,1.0272259811188769,1.0560924939029896,1.018672717930916,1.032427977314278
